lon,lat,SA code
-5.6786189308289226,54.60548518985558,N00000342
-5.681683057246579,54.60360598006431,N00000343
-5.68246510131557,54.60205474675371,N00000336
-5.690102684375631,54.60275622052387,N00000337
-5.685649374113199,54.60065351564932,N00000338
-5.6891240236149505,54.59824217188755,N00000339
-6.650402444285244,54.36536249104856,N00000344
-6.658435020984276,54.35990515837551,N00000345
-6.6648093257147885,54.36628135093028,N00000346
-6.659065157374982,54.35482289621206,N00000347
-6.664445937906087,54.35389020437573,N00000348
-6.673800403268827,54.357799426642835,N00000349
-6.738074887995601,54.39708493637008,N00000350
-6.762696478295914,54.39296231499078,N00000351
-6.698164487660399,54.38955381816933,N00000352
-6.657598137897584,54.38213911110794,N00000353
-6.775260433692082,54.37240943047591,N00000354
-6.708338704845757,54.35973178386154,N00000355
-6.673759404313551,54.345268985047014,N00000356
-6.667158194552112,54.348763110201894,N00000357
-6.677147730230979,54.35174546654558,N00000358
-6.654980005086619,54.347861708148955,N00000359
-6.669581626921293,54.24731602461616,N00000360
-6.691633043042348,54.26348651436085,N00000361
-6.6595326485979305,54.27739585001017,N00000362
-6.616607593874078,54.24644858143409,N00000363
-6.646181111477656,54.21256949430897,N00000364
-6.6732669195702154,54.21615924678015,N00000365
-6.688616603626133,54.425357866656874,N00000366
-6.6986358461399895,54.41161592119025,N00000367
-6.660590933774574,54.40682660032175,N00000368
-6.6528575669435375,54.450672620485626,N00000369
-6.623286335368138,54.427715775516376,N00000370
-6.656170769849506,54.43132964087136,N00000371
-6.629512554241857,54.33317718133087,N00000372
-6.636697610361418,54.32877923476699,N00000373
-6.644220697255476,54.33293839406572,N00000374
-6.643666649276714,54.34460791426122,N00000376
-6.648068801032428,54.339925269570955,N00000375
-6.637162439512258,54.34010316917873,N00000377
-6.625023849875632,54.33711824060599,N00000378
-6.633879350415657,54.338078415892895,N00000379
-6.743440906543691,54.20716705794485,N00000380
-6.696814301166487,54.24542414076255,N00000381
-6.713659649064225,54.22592381056877,N00000382
-6.786165145566694,54.25847563046621,N00000383
-6.7841078872600225,54.230877210795946,N00000384
-6.727001976699207,54.26167583386199,N00000385
-6.661203138603095,54.34444891900347,N00000386
-6.655808926072084,54.34601935298095,N00000387
-6.665394436796389,54.340943231098386,N00000388
-6.660738019129466,54.335555015747026,N00000389
-6.5298307424757525,54.35676307616675,N00000392
-6.565234768833185,54.334870568707615,N00000390
-6.483157955387579,54.34584526304012,N00000393
-6.489309628412464,54.32313327303725,N00000391
-6.580858823410917,54.37570117720224,N00000394
-6.612281246645251,54.38831104506415,N00000395
-6.507708270790814,54.40473670404317,N00000396
-6.551756100164281,54.3964168422963,N00000397
-6.496568094342623,54.38460042049479,N00000398
-6.509402348181006,54.392552939477774,N00000399
-6.701551935787809,54.24797162601729,N00000400
-6.709790172475737,54.24879288418997,N00000401
-6.705977188664348,54.24576761012243,N00000402
-6.706335448096336,54.25195406375888,N00000403
-6.701834608240927,54.25456311546984,N00000404
-6.6987623316293,54.25096926496335,N00000405
-6.574006034636145,54.29950556603443,N00000406
-6.571716834917499,54.257677999005296,N00000407
-6.62720382714197,54.29601321289141,N00000408
-6.620080379268894,54.34094649035679,N00000409
-6.608495719818242,54.32397364683266,N00000410
-6.829056702874904,54.292070469242276,N00000411
-6.803528167112174,54.30231924491473,N00000412
-6.83685016183449,54.27702801849514,N00000413
-6.827524890548146,54.33404212811197,N00000414
-6.7699280226736365,54.343785649881454,N00000415
